ID|name|赛季|球队|场次|首发|时间|投篮|命中率|三分|命中率|罚球|命中率|篮板|助攻|抢断|盖帽|失误|犯规|得分
10009|马科-贝里内利(Marco Belinelli)|2010|黄蜂|80|69|24.5|3.8-8.6|43.7%|1.7-4.0|41.4%|1.2-1.6|78.4%|1.9|1.1|0.47|0.07|0.96|1.82|10.4
10009|马科-贝里内利(Marco Belinelli)|2011|黄蜂|66|55|29.8|4.3-10.4|41.7%|1.6-4.3|37.7%|1.5-2.0|78.3%|2.6|1.5|0.73|0.08|1.05|1.74|11.8
10009|马科-贝里内利(Marco Belinelli)|2012|公牛|73|27|25.8|3.3-8.4|39.5%|1.1-3.0|35.7%|1.9-2.3|83.9%|1.9|2.0|0.60|0.08|1.12|1.92|9.6
10009|马科-贝里内利(Marco Belinelli)|2013|马刺|80|25|25.2|4.2-8.7|48.5%|1.6-3.7|43.0%|1.4-1.6|84.7%|2.8|2.2|0.62|0.09|1.19|1.62|11.4
10010|科里-约瑟夫(Cory Joseph)|2011|马刺|29|1|9.2|0.8-2.4|31.4%|0.1-0.5|20.0%|0.4-0.6|64.7%|0.9|1.2|0.24|0.10|0.41|0.55|2.0
10010|科里-约瑟夫(Cory Joseph)|2012|马刺|28|9|13.9|1.8-3.9|46.4%|0.2-0.8|28.6%|0.6-0.8|85.7%|1.9|1.9|0.54|0.14|0.75|0.89|4.5
10010|科里-约瑟夫(Cory Joseph)|2013|马刺|68|19|13.8|1.9-3.9|47.5%|0.2-0.6|31.6%|1.2-1.4|82.3%|1.6|1.7|0.51|0.21|0.63|1.24|5.0
10011|杰夫-艾尔斯(Jeff Ayres)|2009|开拓者|39|4|10.4|1.1-1.7|66.2%|0.0-0.0|0.0%|0.5-0.5|90.0%|2.5|0.0|0.18|0.41|0.31|1.95|2.7
10011|杰夫-艾尔斯(Jeff Ayres)|2011|步行者|20|1|5.3|0.8-1.8|41.7%|0.0-0.0|0.0%|0.2-0.3|57.1%|1.6|0.2|0.15|0.10|0.10|0.80|1.7
10011|杰夫-艾尔斯(Jeff Ayres)|2012|步行者|37|0|10.0|1.6-3.4|48.4%|0.1-0.1|50.0%|0.6-0.6|91.3%|2.8|0.4|0.16|0.32|0.62|1.19|3.9
10011|杰夫-艾尔斯(Jeff Ayres)|2013|马刺|73|10|13.0|1.4-2.4|58.0%|0.0-0.0|0.0%|0.5-0.8|69.1%|3.5|0.8|0.18|0.34|0.86|2.00|3.3
10012|马特-邦纳(Matt Bonner)|2004|猛龙|82|0|18.9|3.0-5.6|53.3%|0.5-1.1|42.4%|0.7-0.9|78.9%|3.5|0.6|0.48|0.23|0.49|2.68|7.2
