ID|name|website|profile|heigh|position|weight|birth|team|school|xuanxiu|born|salary|contract|regular race|season race
10389|Aaron Gordo|http://g.hupu.com/nba/players/aarongordon-4944.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/4944_410.jpg|2.06|PF|100|255|奥兰多魔术|亚利桑那大学|2014年第1轮第4顺位|美国|399|4年1801万，2014/7/2签，2018夏到期，16&amp;17夏球队选项|0|0
10390|Luke Ridnou|http://g.hupu.com/nba/players/lukeridnour-205.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/205_485.jpg|1.88|G|79|430|奥兰多魔术|俄勒冈大学|2003年第1轮第14顺位|美国|275|两年550万，2015-16部分保障，2016年夏天到期|13|3
10391|Nikola Vucevi|http://g.hupu.com/nba/players/nikolavucevic-3569.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3569.jpg|2.13|F/C|118|314|奥兰多魔术|南加利福尼亚大学|2011年第1轮第16顺位|瑞士|275|4年820万美元，2011/12/13签，2015夏到期|3|1
10392|Elfrid Payto|http://g.hupu.com/nba/players/elfridpayton-4945.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/4945_359.png|1.93|PG|84|274|奥兰多魔术|Louisiana-Lafayette|2014年第1轮第10顺位|美国|239|4年1084万，2014/7/2签，2018夏到期，16&amp;17夏球队选项|0|0
10393|Tobias Harri|http://g.hupu.com/nba/players/tobiasharris-3572.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3572_461.jpg|2.06|F|107|293|奥兰多魔术|田纳西大学|2011年第1轮第19顺位|美国|238|4年708万美元，2011/12/11签，2015夏到期|5|0
10394|Maurice Harkles|http://g.hupu.com/nba/players/mauriceharkless-3652.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3652.jpg|2.06|SF|98|283|奥兰多魔术|圣约翰大学|2012年第1轮第15顺位|美国|188|4年832万，2012/7/25签，2016夏到期，2015夏球队选项|2|0
10395|Andrew Nicholso|http://g.hupu.com/nba/players/andrewnicholson-3656.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3656.jpg|2.06|PF|113|324|奥兰多魔术|圣文德大学|2012年第1轮第19顺位|加拿大|154|4年682万，2012/7/4签，2016夏到期，2015夏球队选项|2|0
10396|Evan Fournie|http://g.hupu.com/nba/players/evanfournier-3657.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/3657_118.png|2.01|SG|93|290|奥兰多魔术||2012年第1轮第20顺位|法国|148|4年655万，2012/7/12签，2016夏到期，2015夏球队选项|2|1
10397|Willie Gree|http://g.hupu.com/nba/players/williegreen-646.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/646_713.jpg|1.91|SG|93|425|奥兰多魔术|底特律大学|2003年第2轮第12顺位|美国|144|3年422万，2012/7/31签，2015夏到期|11|7
10398|Kyle O&#039;Quin|http://g.hupu.com/nba/players/kyleoquinn-3686.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3686.jpg|2.08|F/C|113|321|奥兰多魔术|诺福克州立大学|2012年第2轮第19顺位|美国|91|3年248万，2012/8/9签，2015夏到期★无保障合同|2|0
10399|Peyton Siv|http://g.hupu.com/nba/players/peytonsiva-4792.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/4792_942.png|1.83|PG|84|314|奥兰多魔术|路易斯维尔大学|2013年第2轮第26顺位|美国|84|一年84万，部分保障，2015年夏天到期|1|0
10400|Dewayne Dedmo|http://g.hupu.com/nba/players/dewaynededmon-4849.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/4849_115.jpg|2.13|C|111|328|奥兰多魔术|南加利福尼亚大学||美国|81|3年底薪，2013/11/19签，2016夏到期★无保障合同|4|0
10401|Roy Devyn Marbl|http://g.hupu.com/nba/players/roydevynmarble-4946.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/4946_824.png|1.98|SG|91|291|奥兰多魔术|爱荷华大学|2014年第2轮第26顺位|美国|0|未签约新秀|0|0
