ID|name|website|profile|heigh|position|weight|birth|team|school|xuanxiu|born|salary|contract|regular race|season race
10038|Donatas Motiejunas|http://g.hupu.com/nba/players/donatasmotiejunas-3573.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3573.jpg|2.13|F(20号)|101|653760000.0|休斯顿火箭||2011年第1轮第20顺位|苏联|148|4年550万，2012/7/12签，2016夏到期，2015夏球队选项|2|1
10039|Francisco Garcia|http://g.hupu.com/nba/players/franciscogarcia-1178.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/1178_636.jpg|2.01|G/F(32号)|88|378576000.0|休斯顿火箭|路易斯维尔大学|2005年第1轮第23顺位|Dominican Republic|126|2年底薪，2013/8/1签，2015夏到期，2014夏球员选项|11|3
10040|Ish Smith|http://g.hupu.com/nba/players/ishsmith-3516.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3516_861.png|1.83|PG(5号)|79|584031600.0|休斯顿火箭|维克森林大学||美国|95|3年285万，2012/8/16签，2015夏到期★14-15赛季无保障|10|3
10041|Patrick Beverley|http://g.hupu.com/nba/players/patrickbeverley-3393.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3393_835.jpg|1.85|G(2号)|84|584636400.0|休斯顿火箭|阿肯色大学|2009年第2轮第12顺位|美国|91|3年底薪，2013/1/7签，2015夏到期★14-15赛季无保障|2|2
10042|Jeff Adrien|http://g.hupu.com/nba/players/jeffadrien-3525.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/3525_835.jpg|2.01|F(4号)|111|508348800.0|休斯顿火箭|康涅狄格大学||美国|91|2年底薪，2012/12/10签，2014夏到期★13-14赛季无保障|6|0
10043|Troy Daniels|http://g.hupu.com/nba/players/troydaniels-4884.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/4884_478.jpg|1.93|PG(30号)|93|679503600.0|休斯顿火箭|弗吉尼亚大学||美国|81|2年底薪，2014/7/15签，2016夏到期|1|1
10044|Isaiah Canaan|http://g.hupu.com/nba/players/isaiahcanaan-4799.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/4799.jpg|1.83|PG(0号)|85|674751600.0|休斯顿火箭|莫瑞州立大学|2013年第2轮第4顺位|美国|81|3年233万，2013/7/20签，2016夏到期★15-16赛季部分保障|1|0
10045|Robert Covington|http://g.hupu.com/nba/players/robertcovington-4851.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/4851.jpg|2.06|PF(33号)|98|661104000.0|休斯顿火箭|田纳西州立大学||美国|81|3年底薪，2013/7/13签，2015夏到期★14-15赛季部分保障，15-16赛季无保障|1|0
10046|Clint Capela|http://g.hupu.com/nba/players/clintcapela-4908.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/4908_849.jpg|2.08|PF(15号)|111|769190400.0|休斯顿火箭||2014年第1轮第25顺位|瑞士||未签约新秀|0|0
10047|Nick Johnson|http://g.hupu.com/nba/players/nickjohnson-4909.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/4909_494.png|1.91|SG(3号)|91|724953600.0|休斯顿火箭|亚利桑那大学|2014年第2轮第12顺位|美国||未签约新秀|0|0
10048|Joey Dorsey|http://g.hupu.com/nba/players/joeydorsey-4971.html||2.03|F/C(8号)|122|440352000.0|休斯顿火箭|孟菲斯大学|2008年第2轮第3顺位|美国|||5|0
10049|Tarik Black|http://g.hupu.com/nba/players/tarikblack-4985.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/4985_899.jpg|2.11|PF(10号)|113|690739200.0|休斯顿火箭|堪萨斯大学||美国|||0|0
10050|Geron Johnson|http://g.hupu.com/nba/players/geronjohnson-5046.html||1.91|SG(57号)|92|713289600.0|休斯顿火箭|孟菲斯大学||美国|||0|0
