ID|name|个人网址|个人头像|身高|位置|体重|生日|球队|学校|选秀|出生地|本赛季薪金|合同|常规赛参加情况|季后赛参加情况
10236|罗比-赫梅尔（Robbie Hummel）|http://g.hupu.com/nba/players/robbiehummel-3695.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/3695_922.jpg|2.03米/6尺8|F（4号）|100公斤/220磅|1989-03-08|明尼苏达森林狼|普渡大学|2012年第2轮第28顺位|美国|81万美元|1年底薪，2014/7/24签，2015夏到期|1|0
10237|格伦-罗宾逊三世（Glenn Robinson III）|http://g.hupu.com/nba/players/glennrobinsoniii-4912.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/4912_257.jpg|1.98米/6尺6|SF（1号）|101公斤/222磅|1994-01-08|明尼苏达森林狼|密歇根大学|2014年第2轮第10顺位|美国||未签约新秀|0|0
10238|Brady Heslip（Brady Heslip）|http://g.hupu.com/nba/players/bradyheslip-4996.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/4996_811.jpg|1.88米/6尺2|PG（3号）|82公斤/180磅|1990-06-19|明尼苏达森林狼|贝勒大学||加拿大|||0|0
10239|阿玛雷-斯塔德迈尔（Amar&#039;e Stoudemire）|http://g.hupu.com/nba/players/amarestoudemire-180.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/180.jpg|2.11米/6尺11|F/C（1号）|111公斤/245磅|1982-11-16|纽约尼克斯||2002年第1轮第9顺位|美国|2341万美元|5年9983万，2010/7/8签，2015夏到期|12|8
10240|卡梅罗-安东尼（Carmelo Anthony）|http://g.hupu.com/nba/players/carmeloanthony-252.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/252.jpg|2.03米/6尺8|F（7号）|109公斤/240磅|1984-05-29|纽约尼克斯|雪城大学|2003年第1轮第3顺位|美国|2245万美元|5年1.24亿，2014/7/16签，2019夏到期，2018夏提前终止合同选项★拥有不可交易条款★合同包含15%交易保证金|13|10
10241|安德里亚-巴尼亚尼（Andrea Bargnani）|http://g.hupu.com/nba/players/andreabargnani-1210.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/1210_150.jpg|2.13米/7尺0|F/C（77号）|113公斤/250磅|1985-10-26|纽约尼克斯||2006年第1轮第1顺位|意大利|1150万美元|5年5000万，2009/7/8续约，2010夏生效，2015夏到期|8|2
10242|何塞-卡尔德隆（Jose Calderon）|http://g.hupu.com/nba/players/josecalderon-1090.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/1090_829.png|1.91米/6尺3|PG（3号）|95公斤/210磅|1981-09-28|纽约尼克斯|||西班牙|709万美元|4年2900万，2013/7/11签，2017夏到期|11|3
10243|JR-史密斯（J.R. Smith）|http://g.hupu.com/nba/players/jrsmith-488.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/488.jpg|1.98米/6尺6|G/F（8号）|100公斤/220磅|1985-09-09|纽约尼克斯||2004年第1轮第18顺位|美国|598万美元|3年1794万，2013/7/11签，2016夏到期，2015夏球员选项|10|7
10244|萨穆埃尔-戴勒姆波特（Samuel Dalembert）|http://g.hupu.com/nba/players/samueldalembert-774.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/774_981.jpg|2.11米/6尺11|C（11号）|113公斤/250磅|1981-05-10|纽约尼克斯|塞顿霍尔大学|2001年第1轮第26顺位|海地|386万美元|2年750万美元，2013/7/18签，2015夏到期★14-15赛季薪金只有180万受保障★合同包括15%交易保证金|12|5
10245|杰森-史密斯（Jason Smith）|http://g.hupu.com/nba/players/jasonsmith-1342.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/1342_409.png|2.13米/7尺0|F/C（14号）|109公斤/240磅|1986-03-02|纽约尼克斯|科罗拉多州立大学|2007年第1轮第20顺位|美国|327万美元|1年327万，2014/7/19签，2015夏到期|6|2
